CustomerID,first_purchase_date,last_purchase_date,Recency,Frequency,Monetary,customer_tenure,avg_purchase_interval
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,0,0.0
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,2,7,4310.0,365,60.833333333333336
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,75,4,1797.24,282,94.0
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,19,1,1757.55,0,0.0
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,310,1,334.40000000000003,0,0.0
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,36,8,2506.04,260,37.142857142857146
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,204,1,89.0,0,0.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1,1079.4,0,0.0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,214,1,459.40000000000003,0,0.0
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,23,3,2811.43,302,151.0
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,33,1,6207.67,0,0.0
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,2,1168.06,149,149.0
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,58,4,6372.58,274,91.33333333333333
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,52,3,2662.06,148,74.0
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,287,1,189.9,0,0.0
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,3,10,5226.2300000000005,292,32.44444444444444
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,132,132.0
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,104,34.666666666666664
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,291,2,641.38,0,0.0
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,4,1,168.9,0,0.0
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,51,4,3545.69,309,103.0
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,45,2,1887.96,14,14.0
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,72,3,1298.04,224,112.0
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,311,1,364.6,0,0.0
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,25,1,742.9300000000001,0,0.0
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,11,2,457.5,87,87.0
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,315,2,1628.1200000000001,39,39.0
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,130,1,4008.62,0,0.0
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,82,2,852.24,88,88.0
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,22,4,2724.81,164,54.666666666666664
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,5,1845.31,115,28.75
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,185,5,1850.56,167,41.75
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,29,2,585.27,92,92.0
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,338,2,401.9,29,29.0
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,16,6,2780.6600000000003,311,62.2
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,80,1,549.84,0,0.0
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,22,1,460.89,0,0.0
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,72,4,1582.6000000000001,260,86.66666666666667
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,64,2,1272.48,153,153.0
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,19,12,3018.63,351,31.90909090909091
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,36,2,2409.9,99,99.0
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1,1635.6599999999999,0,0.0
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,119,4,1108.65,142,47.333333333333336
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,303,1,84.3,0,0.0
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,323,1,225.60000000000002,0,0.0
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,50,1,427.7,0,0.0
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1,1710.39,0,0.0
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,22,2,3415.3,161,161.0
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,50,5,1708.12,214,53.5
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,33,5,2888.55,227,56.75
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,79,3,11072.67,103,51.5
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,309,2,693.33,0,0.0
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,75,3,1226.88,94,47.0
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,67,3,758.1,270,135.0
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,217,3,562.4100000000001,93,46.5
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,24,21,124914.53,313,15.65
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,3,9,3649.1,354,44.25
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,113,1,668.58,0,0.0
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,64,1,600.39,0,0.0
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,16,4,807.04,303,101.0
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,96,3,803.5600000000001,229,114.5
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,1,8,1859.31,352,50.285714285714285
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,163,2,1760.96,0,0.0
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,78,1,777.2,0,0.0
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,195,1,582.73,0,0.0
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,22,3,825.8000000000001,349,174.5
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,257,32.125
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,9,4,3750.4,356,118.66666666666667
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,43,1,256.4,0,0.0
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,36,15,6487.45,338,24.142857142857142
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,43,5,5059.32,129,32.25
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,1,7,13375.87,372,62.0
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,85,2,806.14,175,175.0
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,80,2,7829.89,188,188.0
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,100,1,509.01,0,0.0
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,2,18,4951.41,329,19.352941176470587
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,14,2,2906.85,125,125.0
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,367,1,173.55,0,0.0
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,3,1,172.06,0,0.0
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,21,5,5005.46,149,37.25
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,22,1,133.4,0,0.0
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1,1002.3100000000001,0,0.0
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,243,1,476.49,0,0.0
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,44,1,449.45,0,0.0
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,22,4,4067.29,164,54.666666666666664
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,156,2,197.88,17,17.0
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,11,5,9035.52,313,78.25
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,17,2,430.57000000000005,0,0.0
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,134,1,707.09,0,0.0
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,56,1,3528.34,0,0.0
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,73,6,2466.86,223,44.6
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,44,3,3181.04,210,105.0
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,66,7,2363.23,172,28.666666666666668
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,71,2,947.4,213,213.0
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,94,2,826.88,60,60.0
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,19,2,1189.59,284,284.0
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,53,4,1344.78,188,62.666666666666664
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,10,8,1212.05,299,42.714285714285715
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,17,2,742.19,152,152.0
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,188,2,729.54,128,128.0
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,2,30,19824.05,362,12.482758620689655
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,32,7,6572.11,336,56.0
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,29,5,3938.55,162,40.5
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,17,18,7375.79,312,18.352941176470587
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,54,1,723.38,0,0.0
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,16,11,6816.42,345,34.5
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,23,6,13219.74,278,55.6
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,4,1,680.99,0,0.0
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,11,1,527.2,0,0.0
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,28,4,3281.63,307,102.33333333333333
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,23,10,5596.32,342,38.0
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,17,8,2484.98,322,46.0
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,33,6,4541.72,303,60.6
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,10,3,1298.66,65,32.5
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,336,1,334.93,0,0.0
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,5,10,5417.93,324,36.0
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,39,1,460.40000000000003,0,0.0
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,63,2,263.21000000000004,42,42.0
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,166,2,433.74,31,31.0
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,16,7,1246.1,349,58.166666666666664
