CustomerID,first_purchase_date,last_purchase_date,Recency,Frequency,Monetary,customer_tenure,avg_purchase_interval
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,225,1,77183.6,0,0.0
12347,2010-12-07 14:57:00,2011-08-02 08:48:00,29,5,2790.86,237,59.25
12348,2010-12-16 19:09:00,2011-04-05 10:47:00,148,3,1487.24,109,54.5
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,210,1,334.40000000000003,0,0.0
12352,2011-02-16 12:33:00,2011-03-22 16:08:00,162,5,1561.81,34,8.5
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,104,1,89.0,0,0.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,132,1,1079.4,0,0.0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,114,1,459.40000000000003,0,0.0
12356,2011-01-18 09:50:00,2011-04-08 12:33:00,145,2,2753.08,80,80.0
12358,2011-07-12 10:04:00,2011-07-12 10:04:00,50,1,484.86,0,0.0
12359,2011-01-12 12:43:00,2011-06-03 12:26:00,89,3,3495.73,141,70.5
12360,2011-05-23 09:43:00,2011-08-19 10:10:00,12,2,1618.28,88,88.0
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,187,1,189.9,0,0.0
12362,2011-02-17 10:30:00,2011-08-11 15:02:00,20,4,1747.3500000000001,175,58.333333333333336
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,9,2,552.0,132,132.0
12364,2011-08-19 15:24:00,2011-08-19 15:24:00,12,1,623.92,0,0.0
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,191,2,641.38,0,0.0
12370,2010-12-14 12:58:00,2011-03-10 12:48:00,174,3,2806.41,85,42.5
12372,2011-02-16 12:46:00,2011-05-11 10:43:00,112,2,914.9200000000001,83,83.0
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,211,1,364.6,0,0.0
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,215,2,1628.1200000000001,39,39.0
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,29,1,4008.62,0,0.0
12379,2011-06-22 16:32:00,2011-06-22 16:32:00,70,1,459.84,0,0.0
12380,2011-06-07 09:49:00,2011-06-07 09:49:00,85,1,607.5500000000001,0,0.0
12381,2011-08-12 09:57:00,2011-08-12 09:57:00,19,1,1268.74,0,0.0
